"","V1","V2"
"4323","PLACE AND",1
"4324","STOMPING WE",1
"4325","TIME IF",2
"4326","ASEPTIC",6
"4327","INCREMENT",1
"4328","MARC",4
"4329","PIKE TON",1
"4330","RHODESIAN",2
"4331","SCALD",1
"4332","CORN TO",1
"4333","LOOK THERE",1
"4334","CANTON",38
"4335","COLLIE",9
"4336","FLIPPED",28
"4337","IMPATIENT",6
"4338","MICROWAVE",2
"4339","MINERVA",3
"4340","NOB",27
"4341","NUKE",1
"4342","ONE SECOND",1
"4343","ORDINARILY",3
"4344","SHUTTING",5
"4345","AFFECTIONATE",2
"4346","AKRON",3
"4347","AMMONIUM",1
"4348","ASCERTAIN",5
"4349","BARBARA",5
"4350","BARONET",8
"4351","BEACON JOURNAL",2
"4352","BONCE",1
"4353","CLOT",5
"4354","COUGAR TYPE",1
"4355","COUGHS",6
"4356","EMITTING",3
"4357","EVELYN",4
"4358","FELINE",9
"4359","GUNSHOT",10
"4360","HERBERT",1
"4361","HOWE",2
"4362","ION",4
"4363","JONES",11
"4364","LUCRE",1
"4365","MACKEREL",6
"4366","MALL ONE",1
"4367","MUDPACK",2
"4368","MUTATE",2
"4369","ONSIDE",7
"4370","PANTHER LIKE",1
"4371","PATTER SONS",3
"4372","PHANTOM",2
"4373","PHOTOGRAPHS",20
"4374","PORTER",3
"4375","RASTER",3
"4376","SCHIZOPHRENIC",1
"4377","SCHRIEFFER",6
"4378","SHANNON",8
"4379","SINCERE",17
"4380","SUBSTANTIATED",1
"4381","THYROID",1
"4382","UNCHARACTERISTIC",2
"4383","VICIOUS",5
"4384","VIGILANTE",2
"4385","ABSURD",1
"4386","AFRICA",4
"4387","ANGRILY",3
"4388","ANTHROPOLOGIST",3
"4389","ARMOR",3
"4390","BEARABLE",3
"4391","BEDDING",25
"4392","BIZARRE",17
"4393","BOOHOO",1
"4394","BURST",6
"4395","CASSETTE",1
"4396","CHICK",3
"4397","CIT",11
"4398","CLOCKWORK",1
"4399","COLOSSAL",1
"4400","COMPLIMENTARY",1
"4401","COMPREHENSION",2
"4402","CORRECTION",1
"4403","CRUDE",4
"4404","CRUMB",4
"4405","DIAM",8
"4406","DISTORT",15
"4407","DREAD",13
"4408","FOURTEEN",11
"4409","GAUNT",2
"4410","GI",4
"4411","HEW",13
"4412","HIKING CAMPING",2
"4413","HORRENDOUS",4
"4414","HYPERSENSITIVITY",1
"4415","HYPNOSIS",3
"4416","INDULGE",1
"4417","INTOXICATE",4
"4418","LONESOME",3
"4419","MEANINGLESS",1
"4420","MORGAN",16
"4421","MOTEL",2
"4422","MYSTICAL",1
"4423","NIFFY",1
"4424","OCTAVE",7
"4425","OLYMPIAN",1
"4426","OPINE",4
"4427","OUT VERY",1
"4428","OUTRAGEOUS",3
"4429","OUTWARD",9
"4430","PELLET",6
"4431","PERSISTENT",3
"4432","PRIMORDIAL",1
"4433","RECUPERATE",1
"4434","REMINISCE",3
"4435","REVILE",1
"4436","SALIVA",2
"4437","SATINY",7
"4438","SILAS",1
"4439","SPENSERIAN",1
"4440","STOPPED AGAIN",1
"4441","STRAPPED",3
"4442","STRESSFUL",1
"4443","SUPPRESS",2
"4444","SUSPENSEFUL",1
"4445","SWIZ",2
"4446","SYNCHRONIZE",2
"4447","TERRITORIAL",13
"4448","TIDY",1
"4449","TREK",20
"4450","TRIPWIRE",2
"4451","TRUSTY",3
"4452","TWISTY",2
"4453","UNEASE AGAIN",1
"4454","VALVE",19
"4455","VULNERABILITY",3
"4456","WINDLESS",2
"4457","YA",4
"4458","BAUM",1
"4459","DRINK DIPPING",1
"4460","FEB MARCH",1
"4461","STUNNED AWED",1
"4462","JOGGER",12
"4463","FRIENDS NOTHING",1
"4464","GONE THE",2
"4465","MOVING YET",1
"4466","OHIO IT",1
"4467","ROAD MY",1
"4468","SAY DOES",1
"4469","SAY IT",1
"4470","SESAME",1
"4471","SNUFFLE",2
"4472","STANDING RIGHT",1
"4473","TOWERING IT",1
"4474","TREE AND",3
"4475","UPLAND",3
"4476","WAS THIS",3
"4477","WATCHING AND",1
"4478","ASHTRAY",1
"4479","LAID",3
"4480","NINTH",4
"4481","OUTLOOK",6
"4482","BOSTON",6
"4483","BRANDY WINE",1
"4484","BRUSHSTROKE",1
"4485","CLOSE APPROX",1
"4486","CONRAD",3
"4487","LONGER ABOUT",1
"4488","MAHOGANY",6
"4489","MARSH SWAMP",1
"4490","PEACOCK ONLY",1
"4491","PRANK GIVEN",1
"4492","QUAVER",6
"4493","RASPY",1
"4494","RICH FIELD",1
"4495","RIVER VIEW",3
"4496","SECANT",1
"4497","TWP",2
"4498","US MYSELF",1
"4499","VAUGHN",2
"4500","NARC",1
"4501","PLAZA",2
"4502","SAGA MORE",3
"4503","SCRIP TED",1
"4504","BROWN FURRED",1
"4505","HOODOO",4
"4506","SITTING SQUATTING",1
"4507","HEAD FACE",2
"4508","HINTON",2
"4509","MUGGY",3
"4510","TOOTHPICK",3
"4511","VIEW ABLE",2
"4512","APEX",1
"4513","EVE",15
"4514","PELT",8
"4515","SNEEZE",2
"4516","CUSTARD",1
"4517","DOWN BUT",1
"4518","FUSS",12
"4519","GRASS FOLIAGE",1
"4520","GRATE",10
"4521","INDIRECT",2
"4522","INNOCUOUS",1
"4523","SETTING ANOTHER",1
"4524","SHOULDER ARMPIT",1
"4525","KENDALL",3
"4526","AGAIN SEVERAL",1
"4527","REINSTALL",1
"4528","STROLL",24
"4529","ETHER",5
"4530","MUSSEL",5
"4531","PROTRUDE",22
"4532","LOUISVILLE",12
"4533","LUKE",2
"4534","MORAVIAN",1
"4535","OVERLAY",16
"4536","UNBROKEN",7
"4537","AQUILA",2
"4538","CHEYENNE",5
"4539","NEWCOMERS TOWN",2
"4540","TOMATOES",1
"4541","TUSCARORA",3
"4542","DUNDEE",1
"4543","GAME LAND",3
"4544","LITTLE KNOWN",1
"4545","SHOCKING",2
"4546","VALIDATE",4
"4547","WATERFALL",13
"4548","WINES BURG",1
"4549","GRANGE",4
"4550","STANCH",8
"4551","TAP PAN",1
"4552","HOWL GROWL",4
"4553","ENTERTAIN",5
"4554","GONZALES",3
"4555","NAUSEATE",4
"4556","PAN ICKY",5
"4557","SNOOT FULL",1
"4558","SOUTHEASTERN",9
"4559","WHIFF",10
"4560","LINTON",2
"4561","MACARTHUR",1
"4562","SUNDAS",4
"4563","MOTORBIKE",4
"4564","AQUARIUM",1
"4565","DISLODGE",3
"4566","FINGERPRINT",5
"4567","HAND PRINTS",8
"4568","RECLINE",5
"4569","SCRUBBING",1
"4570","VINEGARY",1
"4571","VINYL",3
"4572","BITCHY",1
"4573","HERE AND",2
"4574","INFARCT",9
"4575","NUTCASE",4
"4576","OVERTOOK",1
"4577","SHAY",6
"4578","SHOCK DEFINITELY",1
"4579","SHOVE LING",2
"4580","BAD SKUNK",1
"4581","CASABLANCA",1
"4582","NOISE AND",1
"4583","SMELL BEFORE",1
"4584","TRACKS THE",1
"4585","YIN",1
"4586","ANNAPOLIS",7
"4587","SAWMILL",5
"4588","DONKEY",9
"4589","FLASH LITE",4
"4590","MOMENTOUS",2
"4591","WEST BOUND",18
"4592","ROADKILL",9
"4593","SACHEM",1
"4594","INVESTIGATE DREAD",1
"4595","YOW",1
"4596","ALEXANDRIA",2
"4597","ALL TIME",1
"4598","BETTY",2
"4599","CAMDEN",2
"4600","CARDBOARD",2
"4601","CB",6
"4602","CONFIDENTIALITY",4
"4603","DB",1
"4604","HOFFMAN",2
"4605","MUTILATE",7
"4606","OAT",1
"4607","TL",1
"4608","AUDUBON",1
"4609","OVERAWE",1
"4610","MALODOROUS",1
"4611","PERRY",6
"4612","SINGLE FILE",1
"4613","SMELLY",12
"4614","CLYDE",1
"4615","CORRECTIONAL",2
"4616","POTTAGE",7
"4617","SPLASHY",4
"4618","TOPICAL",2
"4619","BACK THIS",1
"4620","BACKWATER",4
"4621","BANK THE",1
"4622","BIGFOOT NO",1
"4623","BOAT WE",2
"4624","CAT FISH",16
"4625","COLD NO",1
"4626","ETERNITY WE",1
"4627","FOUND WE",1
"4628","FREEMASON THANK",1
"4629","GILLION",1
"4630","GOOD THIS",1
"4631","GOOD WE",1
"4632","HURRY WE",1
"4633","MUSKY",4
"4634","PEOPLE THE",1
"4635","PORE",9
"4636","PRINTS ANYWAY",1
"4637","PRINTS THE",1
"4638","RAMP LOADED",1
"4639","RIVER ONE",1
"4640","RIVER VERY",1
"4641","SMALL JUST",1
"4642","SPRING THEY",1
"4643","STAYED WE",1
"4644","TRUE OUR",1
"4645","WEIRD SECOND",1
"4646","CITY TYPE",1
"4647","DEADBOLT",1
"4648","GERMAN TOWN",3
"4649","MIDDLE TOWN",2
"4650","OCCULT",1
"4651","MOTORIST",6
"4652","AORTA",8
"4653","BEFRIEND",4
"4654","CHIRPING WHISTLE",1
"4655","FAINTER FOR",1
"4656","HUBER",1
"4657","LEFT THEN",1
"4658","LIKE ITS",1
"4659","LOOK TO",1
"4660","PEDIATRICIAN",1
"4661","PITCH BUT",1
"4662","RANEE",4
"4663","RIGHT HE",1
"4664","RIGHT RIGHT",1
"4665","SADDEN",1
"4666","SCARED SHE",1
"4667","SIDES HIS",1
"4668","TIT",13
"4669","WALK EDIT",1
"4670","YR OLD",5
"4671","FORBIDDEN",6
"4672","GRANNY",1
"4673","GREENWICH",2
"4674","ABORT ED",2
"4675","ADULTHOOD",4
"4676","ASPHALT",14
"4677","ATONE",1
"4678","ATTACHMENTS",3
"4679","ATTENDED",2
"4680","AUTUMN",13
"4681","BE COMING",37
"4682","BLOT",3
"4683","BLURRING",1
"4684","BOAT THE",1
"4685","BOYHOOD",1
"4686","BUGLE",13
"4687","BUTTOCK",14
"4688","CITY BOY",1
"4689","CLAMP",2
"4690","COCKY",1
"4691","COHERENT",4
"4692","CONSTELLATION",2
"4693","COONSKIN",1
"4694","COWARD",5
"4695","DERIVATION",1
"4696","DISCONCERTING",1
"4697","DOING",1
"4698","ELDEST",6
"4699","ENLIST",4
"4700","EXEMPLIFY",1
"4701","EYEING",3
"4702","FAMILIARITY",6
"4703","FASTEN",3
"4704","FEARSOME",2
"4705","FEND",10
"4706","FIBERGLASS",4
"4707","FLAKE",8
"4708","FLATTER",8
"4709","FOOT NINE",1
"4710","FOURTEENTHS",3
"4711","GODSEND",1
"4712","HALF EXPECTED",1
"4713","HALO",2
"4714","HANDRAIL",2
"4715","HUNCHED OVER",3
"4716","HYING",1
"4717","IRRITABLY",1
"4718","ISLE",3
"4719","JOT",1
"4720","KINK",14
"4721","LOOSEN",2
"4722","MA HONING",1
"4723","MARKEDLY",1
"4724","MATTERHORN",2
"4725","MERCURY",2
"4726","MERCURY VAPOR",1
"4727","MILTON",8
"4728","MOONLESS",13
"4729","MOOR",4
"4730","MOSQUITOES",7
"4731","NONCOMMITTAL",1
"4732","ONBOARD",1
"4733","OUTBOARD",2
"4734","OVERSTATE",1
"4735","PRANG",8
"4736","PUNCTUATE",3
"4737","QUARTER INCH",1
"4738","RANSOM",2
"4739","REEK",7
"4740","REGRETTABLY",3
"4741","REPELLENT",2
"4742","RUBBED",5
"4743","SCRAP",4
"4744","SHAD DUH",1
"4745","SKILLFUL",1
"4746","SLY",9
"4747","SPEC",4
"4748","STABLY",2
"4749","STEW",4
"4750","STILLNESS",10
"4751","STRAITEN",10
"4752","STRAPPING",2
"4753","SWOT",2
"4754","TERSE",1
"4755","THREESCORE",1
"4756","TRANSOM",1
"4757","TRASHCAN",10
"4758","TURBULENT",1
"4759","TWO LANE",2
"4760","UH HUH",1
"4761","UNBELIEVABLE TOOLING",1
"4762","VANDAL",10
"4763","VANDALISM",3
"4764","VANDALIZE",3
"4765","VARIATE",4
"4766","VARNISH",1
"4767","VINTAGE",2
"4768","WELL THEY",1
"4769","WHEY",1
"4770","WILD MEN",1
"4771","WOODPILE",4
"4772","WORSE",1
"4773","WORTHWHILE",2
"4774","CAMOUFLAGE",12
"4775","CONICAL",10
"4776","ELYSIAN",1
"4777","FEROCIOUS",5
"4778","LO RAIN",1
"4779","METRO",5
"4780","FEE TIT",2
"4781","PINE TREES",4
"4782","AMATEUR",6
"4783","FORK WE",1
"4784","HUG EVERY",2
"4785","MARCH THE",1
"4786","TURNPIKE",10
"4787","YOUNGSTOWN",2
"4788","CHIPPEWA",3
"4789","STYX",2
"4790","ALFALFA",4
"4791","DONA",2
"4792","DWARF",11
"4793","IS WHAT",1
"4794","JEREMY",1
"4795","MAG LIGHT",5
"4796","SLOWLY FACING",1
"4797","US ALL",2
"4798","WOOD SLOW",1
"4799","XXX XXX",13
"4800","IRIS",4
"4801","LAPTOP",2
"4802","DIGIT",8
"4803","ENTAIL",7
"4804","GROAN",10
"4805","MYSTIFY",5
"4806","UP CLOSE",3
"4807","INDICT",1
"4808","LONDON",1
"4809","RACHEL",2
"4810","YID",1
"4811","CHERRY",13
"4812","VERSAILLES",3
"4813","CLAYTON",4
"4814","DANE",4
"4815","FURIOUS",5
"4816","BAKER",18
"4817","JAY",14
"4818","CROSSWISE",1
"4819","EATERY",1
"4820","FULTON",3
"4821","GUNNED",5
"4822","LOAFER",7
"4823","THROTTLE",11
"4824","FRIEND JUST",1
"4825","GILEAD",1
"4826","RT",7
"4827","BEAR HUMAN",2
"4828","CARDING TON",1
"4829","INTESTINE",4
"4830","JOSH",5
"4831","MISHIT",2
"4832","OBJECT THING",1
"4833","SECURITY LIGHT",1
"4834","SHIRTLESS",3
"4835","USURER",2
"4836","WHATSIT",6
"4837","BUG WACKER",1
"4838","ARTHRITIS",1
"4839","AWE STRUCK",4
"4840","CATION",17
"4841","CLIPPING",4
"4842","COMPILE",2
"4843","DILLON",5
"4844","JUNKYARD",11
"4845","NASH PORT",2
"4846","SLUGGER",2
"4847","SPILLWAY",14
"4848","TARZAN",5
"4849","TRANSPIRE",5
"4850","YIPPING",8
"4851","CALAIS",1
"4852","BALM",1
"4853","BRUSH THE",2
"4854","CHRIS",33
"4855","CROSS HAIRS",1
"4856","FLEX",2
"4857","GROUNDHOG",7
"4858","HANDY",9
"4859","HAY FIELD",5
"4860","KIDDED",2
"4861","MURPHY",9
"4862","PRIMAL",12
"4863","SENECA",11
"4864","CHAUNCEY",1
"4865","MOTHBALL",1
"4866","GUNK",1
"4867","SCION",1
"4868","STEALTH LIKE",1
"4869","PADDED",7
"4870","AURORA",4
"4871","JANE",8
"4872","LAURIE",2
"4873","WOMEN",2
"4874","SCRUB BRUSH",1
"4875","KENT",4
"4876","MAHICAN",7
"4877","AMMUNITION",3
"4878","NEWTON",3
"4879","RAVEN",6
"4880","WEPT",14
"4881","AHA",5
"4882","BRADY",1
"4883","CAPPED",3
"4884","EPA",1
"4885","TENDED",1
"4886","GOODALL",2
"4887","PRICK",6
"4888","AWAY AS",2
"4889","BIGFOOT BUT",1
"4890","CAMERA WHEN",1
"4891","CLOSE RAT",1
"4892","DAD THEY",1
"4893","DAY AND",1
"4894","DEEP ERAS",1
"4895","DETAILS THEY",1
"4896","FACE SAND",1
"4897","FILM THE",1
"4898","HOME IT",2
"4899","HUMAN THEY",1
"4900","IT WE",6
"4901","LARGE COVERED",1
"4902","LEGS WHEN",1
"4903","MIND WHAT",1
"4904","REASONS THEIR",1
"4905","ROSEWATER",1
"4906","SCARED RIGHT",1
"4907","SPOT AND",1
"4908","STRESS WE",1
"4909","THAT SAW",1
"4910","THE MAT",1
"4911","TWIG WE",1
"4912","US THEY",3
"4913","WOODS WE",5
"4914","BELIEFS",6
"4915","CLAM",2
"4916","DUBBED",3
"4917","TONI",2
"4918","TOREADOR",2
"4919","AGO WE",1
"4920","APELIKE IT",1
"4921","BAR NIT",1
"4922","COYOTE WE",1
"4923","CREEK BED",14
"4924","LIKE WE",1
"4925","MANIC",1
"4926","ONE SHE",1
"4927","SCREAM IT",2
"4928","SOUNDS BUT",1
"4929","WAILING II",1
"4930","WHOOP IT",1
"4931","WINTER MAYBE",1
"4932","ANYMORE WE",1
"4933","ANYWHERE LET",1
"4934","BEYOND YOU",1
"4935","CALLER",16
"4936","COYOTE PREDATOR",1
"4937","DEAFEN",3
"4938","ENGULF",4
"4939","FISHING THE",1
"4940","FORGET ME",1
"4941","HORRIBLY",5
"4942","IRAQ",7
"4943","MICHAEL",8
"4944","MP",8
"4945","OCCASIONS THE",1
"4946","WRETCHED",1
"4947","AT WATER",1
"4948","ELECTRONICALLY",1
"4949","FEW TOWN",2
"4950","RAN FIELD",1
"4951","SCAVENGE",9
"4952","TRIALING",15
"4953","ADAGIO",2
"4954","DETECTED",4
"4955","GLUED",1
"4956","MUSKRAT",8
"4957","NINETY",4
"4958","TRAP LINE",1
"4959","TRAPPING",8
"4960","DISTANT SOUNDING",1
"4961","HOBBY",9
"4962","ABNORMAL",11
"4963","HEADLESS",2
"4964","RD THERE",1
"4965","SQ",1
"4966","CARETAKER",5
"4967","DROP OFF",6
"4968","FALLS CREEK",1
"4969","GOLD YELLOW",1
"4970","AWE",17
"4971","FALLOW",13
"4972","GINSENG",9
"4973","GOLDEN SEAL",1
"4974","GRUMBLE",7
"4975","JUSTIN",19
"4976","MY BROTHER",1
"4977","SCONCE",1
"4978","DONNA",8
"4979","LOGAN",6
"4980","PATTING",2
"4981","CAUGHT",2
"4982","PEWTER",1
"4983","DARN",16
"4984","DEEP THREE",1
"4985","LEIGH TON",1
"4986","FREMONT",2
"4987","IN FAMOUS",4
"4988","BUILT THE",1
"4989","DARK COLORED",6
"4990","GREENE",3
"4991","SEVENTY THE",1
"4992","LOWELL",6
"4993","HELIOPOLIS",3
"4994","LANCASTER",3
"4995","REST HAVEN",1
"4996","THROAT ED",8
"4997","TRIMMER",1
"4998","CAY",4
"4999","CLEAR CREEK",1
"5000","POMONA",1
"5001","ANTRUM",1
"5002","AROUND BUT",2
"5003","BICYCLIST",1
"5004","ENTOMOLOGY",2
"5005","LAKE IT",1
"5006","OLEN TANGY",2
"5007","PEARL",3
"5008","PERCOLATE",1
"5009","TEETHE",2
"5010","ALLIGATOR",23
"5011","AMOUR",1
"5012","BALLS FURTHER",1
"5013","BLUE AND",1
"5014","CIRCUMFERENCE THEN",1
"5015","GASSING",8
"5016","HOURS NOTHING",1
"5017","LIGHTNING KABOOM",1
"5018","MIMICKING",4
"5019","MINUTES WHILE",1
"5020","MPH THEN",1
"5021","OOH",3
"5022","ORC",8
"5023","PUT RID",10
"5024","RHINOCEROS",1
"5025","SMELL THEN",1
"5026","STEREO",10
"5027","TOES THE",1
"5028","TREE THEY",2
"5029","BROWN AFTER",1
"5030","FORREST ON",1
"5031","GONE AFTER",1
"5032","GUN BUT",1
"5033","HOGAN",1
"5034","KNICKERBOCKERS",1
"5035","LIGHT BUT",1
"5036","MAT",14
"5037","OUCH",7
"5038","PERIODICALLY AT",1
"5039","TALL IT",2
"5040","FUR COAT",2
"5041","KROGER",1
"5042","TUB",4
"5043","NELSON",5
"5044","PORCH CRUNCH",1
"5045","SKETCHY",2
"5046","SKINNED",3
"5047","STEPS THAT",1
"5048","BADGER",1
"5049","CHAGRIN",2
"5050","NOISELESS",1
"5051","ROOT DISK",1
"5052","ANYMORE SOMETHING",1
"5053","AWAY MY",2
"5054","BELIEVE HE",1
"5055","CREATURES THERE",1
"5056","DEATHS",1
"5057","FIELD IT",1
"5058","HEIR",5
"5059","LAZE",19
"5060","LOOSE MIND",1
"5061","MOTION LIST",1
"5062","PUBLICIST",1
"5063","SIMULATE",7
"5064","SOUND WHAT",1
"5065","STRANGLE",3
"5066","THEW",5
"5067","TIME EACH",1
"5068","CLARION",2
"5069","DRYER",5
"5070","HARMLESS",2
"5071","TABULATE",2
"5072","WINDSOR",1
"5073","CHAR DON",1
"5074","BLUE WHITE",3
"5075","BOGEY",2
"5076","CARTOONIST",1
"5077","DOST",5
"5078","NONTHREATENING",1
"5079","BOBBY",6
"5080","EGAD",6
"5081","FRONT SIDE",1
"5082","SON HUSBAND",1
"5083","IPOD",6
"5084","NEWSLETTER",1
"5085","GUERNSEY",1
"5086","CANTALOUPE",3
"5087","WOBBLE",2
"5088","NOISES HOWLS",1
"5089","THUNDEROUS",4
"5090","ATYPICAL",1
"5091","CAT FISHING",5
"5092","COLEMAN",11
"5093","DIRECTIONAL",5
"5094","EMIR",4
"5095","TORT",14
"5096","AROUND IT",3
"5097","CAMBRIDGE",1
"5098","HAIR FUR",11
"5099","BENDER",1
"5100","SHADE BUSH",1
"5101","TRAUMATIZE",6
"5102","HOSANNA",1
"5103","EFFORTLESS",12
"5104","LIMEY",1
"5105","AFFECTED",1
"5106","BALLISTIC",5
"5107","HARRISON",2
"5108","ARE ABUT",2
"5109","BERNARD",15
"5110","BERNARD BOB",1
"5111","BOB",37
"5112","HIM GROWLED",1
"5113","NEIGHBORLINESS",1
"5114","RON HIS",1
"5115","SCOOT",6
"5116","SCOT TRON",1
"5117","SHOTGUN",14
"5118","TREE STAND",13
"5119","PARROT",3
"5120","ACCOUNT THEY",1
"5121","BEAR NO",1
"5122","DOUBT NO",1
"5123","FIELD BUT",1
"5124","FOOTIE",2
"5125","HUNTER BUT",1
"5126","LINE IT",1
"5127","MILLERS BURG",2
"5128","QUASI",5
"5129","SHIMMER",2
"5130","BEECH",10
"5131","BONFIRE",11
"5132","BUCKEYE",1
"5133","BULLFROG",4
"5134","CARDINAL",5
"5135","CLEARER THEN",1
"5136","CR",16
"5137","CURSORY",1
"5138","DEAD TWO",1
"5139","DELI",2
"5140","DRAKE",2
"5141","EPISTLE",1
"5142","HAWK SNAKES",1
"5143","HOLMES",2
"5144","NIGHT OWL",1
"5145","ON WERE",1
"5146","OUT LOUD",3
"5147","RILE",9
"5148","SECLUSION",1
"5149","SISTERLY",14
"5150","TIC",1
"5151","TOGETHER AND",1
"5152","UNOFFICIAL",1
"5153","VAULT",3
"5154","WASP",2
"5155","DIPPER",1
"5156","BROWNISH REDDISH",2
"5157","BLOOMINGDALE",2
"5158","CROSSBREED",1
"5159","INTERSTELLAR",1
"5160","BABBLE",6
"5161","CALL SAND",1
"5162","DEMONIAC",1
"5163","DREADFUL",2
"5164","FRENZY",5
"5165","INSPIRED",2
"5166","NEWFOUND",2
"5167","NEWLYWED",1
"5168","POWERLESS",1
"5169","SCREAMING SCREECHING",1
"5170","SUPERNATURAL",5
"5171","UNSAFE",4
"5172","VIGILANCE",1
"5173","ASAP",13
"5174","HUNTSVILLE",11
"5175","LIAISON",1
"5176","STEUBEN",1
"5177","ASHAMED",2
"5178","GUINEA",1
"5179","MOW",2
"5180","CLAY LIKE",1
"5181","FLAN",7
"5182","LIVE WE",1
"5183","MIDSECTION",2
"5184","BABOON",3
"5185","CLAY LICK",1
"5186","MIDSUMMER",10
"5187","REGULARITY",1
"5188","CEMENT",17
"5189","DEMON EYES",1
"5190","AGAIN OCCASIONALLY",1
"5191","AM AFTER",1
"5192","AWAY WE",6
"5193","BARKING MAYBE",1
"5194","BEFORE IT",3
"5195","CODY",8
"5196","EAST FORK",1
"5197","HURT THEN",1
"5198","MOVIE THE",1
"5199","PASTED WE",1
"5200","PRESENT IT",1
"5201","SCREAM OVER",1
"5202","SCREAM THEN",1
"5203","STOPPED WE",2
"5204","STRANGE AFTER",1
"5205","TREES WARNING",1
"5206","DELUSIONAL",1
"5207","STUBBLE",3
"5208","BOBBED",2
"5209","PERPETRATE",1
"5210","SHEW",4
"5211","TODDLE",4
"5212","AGO YOU",1
"5213","ATWOOD",2
"5214","GLUE",6
"5215","SQUISH",8
"5216","BUTLER",3
"5217","LISTEN WE",1
"5218","DOOR WE",1
"5219","HOUSE WE",3
"5220","RAGWEED",2
"5221","SAW SHE",1
"5222","CATNAPPING",2
"5223","CLOSE WITHIN",1
"5224","HARDCORE",2
"5225","MORTIFY",1
"5226","NOMADIC",2
"5227","RAILCARD",1
"5228","REVERBERATE",10
"5229","TREE STANDS",2
"5230","BLACK TAN",1
"5231","BROKEN AND",1
"5232","BRUISE",8
"5233","DOCKET",1
"5234","DOG THE",1
"5235","DOGS WHEN",1
"5236","DOPE",3
"5237","DOWN AND",2
"5238","FENCE WELL",1
"5239","GAME WARDEN",3
"5240","IT THERE",4
"5241","LOOSELY",4
"5242","NAGGING",3
"5243","OFF THE",1
"5244","QUICKSAND",1
"5245","SCREAM AND",1
"5246","SEPTAL",1
"5247","TRIG",3
"5248","YEAR WE",1
"5249","YET THE",1
"5250","FIVE SECOND",1
"5251","STAN HOPE",1
"5252","BOYS LETS",1
"5253","BRAVADO",2
"5254","EVAPORATE",2
"5255","KNAVE",10
"5256","FIELD SAND",1
"5257","RIND",1
"5258","BRIDGE THE",1
"5259","FATHOM",4
"5260","OVERLAPPING",1
"5261","SALVAGE",3
"5262","ASPERSION",1
"5263","BEQUEST",1
"5264","UPS",6
"5265","VEIN",3
"5266","AUSTIN",7
"5267","BULKY",4
"5268","CATHERINE",1
"5269","GENEVA",5
"5270","BROAD EST",1
"5271","THINK ABLE",1
"5272","PONDS STREAMS",1
"5273","TWIG SAND",1
"5274","CONSTABULARY",1
"5275","CRAB APPLE",1
"5276","FRIGID",1
"5277","KNOCKS WE",1
"5278","MIMIC",18
"5279","ORIFICE",1
"5280","PALLADIUM",1
"5281","ATHENS",3
"5282","MESSENGER",1
"5283","PROFUSE",1
"5284","RAILWAY",3
"5285","FEET BUT",1
"5286","THINGUMABOB",1
"5287","ASSIMILATE",1
"5288","EQUIVOCAL",1
"5289","INFANTRY",10
"5290","METHODICAL",6
"5291","MINUTES BEFORE",1
"5292","MISTAKABLE",14
"5293","OFFAL",2
"5294","RAPPING",4
"5295","TRAIPSE",2
"5296","WINDOW HOPING",1
"5297","WINDOW WELL",1
"5298","CHURN",2
"5299","GRUFF",6
"5300","ROUST",4
"5301","STAND UP",1
"5302","UNNECESSARY",1
"5303","USELESS",6
"5304","BIRDSEED",1
"5305","SPARKLE",1
"5306","AAH",4
"5307","CLICHE",4
"5308","SHEPARD",14
"5309","SHEPARD MIX",1
"5310","BROWNIE",3
"5311","JEEP IT",1
"5312","HEARD BUT",3
"5313","MECHANICS TOWN",2
"5314","MONSTER QUEST",2
"5315","LACROSSE",1
"5316","NIT ELITE",1
"5317","PHOTOGRAPHIC",5
"5318","IDENTIFIED",19
"5319","PLATY",1
"5320","BONNEVILLE",10
"5321","DIST",2
"5322","RR",14
"5323","SNIDER",1
"5324","AMONG ST",13
"5325","DONNELL",3
"5326","CROSSBOW",2
"5327","DEER SLUG",1
"5328","EQUINE",1
"5329","WHACK",5
"5330","WILLIAMS BURG",1
"5331","TWILIT",16
"5332","WHENCE",2
"5333","APPENDAGE",7
"5334","ICE BOX",1
"5335","SECTIONED",1
"5336","SUMMARIZE",2
"5337","TRANSPLANT",2
"5338","CAVEMEN",1
"5339","DESCENDANT",1
"5340","LIVERPOOL",2
"5341","ARRANT",10
"5342","CAVER NOUS",1
"5343","GROVER",8
"5344","PLOTTING",1
"5345","STATE HE",1
"5346","WINDOW STAYED",1
"5347","CALCUTTA",4
"5348","PROWL",9
"5349","GRETCHEN",1
"5350","HAUNCH",8
"5351","SPRUCE VALE",1
"5352","WIFE AND",1
"5353","FREDERICK TOWN",1
"5354","BLURRED",4
"5355","DESIGNATE",12
"5356","HANGMAN",4
"5357","JITTERY",1
"5358","TWIRL",2
"5359","ALTOIDS",3
"5360","MARION",11
"5361","POWELL",3
"5362","MOUNTAINEER",4
"5363","THURSDAY THANKSGIVING",1
"5364","DRIVEWAY IT",1
"5365","LEGATE",1
"5366","SHOCK SHE",1
"5367","WOOD BURY",1
"5368","AGO ALONG",1
"5369","BONE SHE",1
"5370","CAMCORDER",17
"5371","CONCOCT",2
"5372","CROTCH",8
"5373","DEER ALL",1
"5374","DETERIORATE",4
"5375","GROUND THIS",1
"5376","HOTBED",1
"5377","MUMMIFY",1
"5378","SCENE LATER",1
"5379","SIGHT VERY",1
